Source,Target,Type,id,label,timeset,weight
402,302,Directed,1715,,,1.0
402,401,Directed,1716,,,1.0
402,404,Directed,1717,,,1.0
402,226,Directed,1718,,,1.0
1148,74,Directed,1719,,,1.0
1245,570,Directed,1720,,,1.0
1245,81,Directed,1721,,,1.0
68,69,Directed,1722,,,1.0
68,70,Directed,1723,,,1.0
68,98,Directed,1724,,,1.0
68,664,Directed,1725,,,1.0
68,751,Directed,1726,,,1.0
68,245,Directed,1727,,,1.0
68,158,Directed,1728,,,1.0
68,1061,Directed,1729,,,1.0
68,661,Directed,1730,,,1.0
68,235,Directed,1731,,,1.0
68,1238,Directed,1732,,,1.0
219,220,Directed,1733,,,1.0
154,137,Directed,1734,,,1.0
154,155,Directed,1735,,,1.0
154,156,Directed,1736,,,1.0
408,407,Directed,1737,,,1.0
408,409,Directed,1738,,,1.0
408,306,Directed,1739,,,1.0
408,502,Directed,1740,,,1.0
408,503,Directed,1741,,,1.0
98,68,Directed,1742,,,1.0
661,68,Directed,1743,,,1.0
661,235,Directed,1744,,,1.0
661,1198,Directed,1745,,,1.0
327,328,Directed,1746,,,1.0
327,78,Directed,1747,,,1.0
327,685,Directed,1748,,,1.0
327,110,Directed,1749,,,1.0
327,54,Directed,1750,,,1.0
328,327,Directed,1751,,,1.0
328,78,Directed,1752,,,1.0
328,552,Directed,1753,,,1.0
328,553,Directed,1754,,,1.0
328,554,Directed,1755,,,1.0
570,765,Directed,1756,,,1.0
570,81,Directed,1757,,,1.0
570,766,Directed,1758,,,1.0
570,767,Directed,1759,,,1.0
570,1245,Directed,1760,,,1.0
119,132,Directed,1761,,,1.0
119,224,Directed,1762,,,1.0
119,117,Directed,1763,,,1.0
119,225,Directed,1764,,,1.0
490,441,Directed,1765,,,1.0
490,491,Directed,1766,,,1.0
490,492,Directed,1767,,,1.0
490,493,Directed,1768,,,1.0
941,191,Directed,1769,,,1.0
941,248,Directed,1770,,,1.0
941,942,Directed,1771,,,1.0
941,790,Directed,1772,,,1.0
941,943,Directed,1773,,,1.0
941,139,Directed,1774,,,1.0
941,634,Directed,1775,,,1.0
941,944,Directed,1776,,,1.0
778,779,Directed,1777,,,1.0
778,236,Directed,1778,,,1.0
778,1029,Directed,1779,,,1.0
1033,54,Directed,1780,,,1.0
1033,1034,Directed,1781,,,1.0
555,55,Directed,1782,,,1.0
555,556,Directed,1783,,,1.0
555,557,Directed,1784,,,1.0
555,558,Directed,1785,,,1.0
555,559,Directed,1786,,,1.0
938,939,Directed,1787,,,1.0
938,940,Directed,1788,,,1.0
938,954,Directed,1789,,,1.0
938,955,Directed,1790,,,1.0
938,1145,Directed,1791,,,1.0
481,480,Directed,1792,,,1.0
481,482,Directed,1793,,,1.0
481,483,Directed,1794,,,1.0
481,476,Directed,1795,,,1.0
481,117,Directed,1796,,,1.0
481,470,Directed,1797,,,1.0
481,472,Directed,1798,,,1.0
481,484,Directed,1799,,,1.0
385,54,Directed,1800,,,1.0
385,386,Directed,1801,,,1.0
385,53,Directed,1802,,,1.0
380,47,Directed,1803,,,1.0
69,68,Directed,1804,,,1.0
69,70,Directed,1805,,,1.0
1306,114,Directed,1806,,,1.0
1306,1307,Directed,1807,,,1.0
1306,775,Directed,1808,,,1.0
474,473,Directed,1809,,,1.0
474,475,Directed,1810,,,1.0
474,114,Directed,1811,,,1.0
474,476,Directed,1812,,,1.0
474,477,Directed,1813,,,1.0
474,478,Directed,1814,,,1.0
474,479,Directed,1815,,,1.0
474,633,Directed,1816,,,1.0
474,634,Directed,1817,,,1.0
474,137,Directed,1818,,,1.0
474,47,Directed,1819,,,1.0
474,314,Directed,1820,,,1.0
474,59,Directed,1821,,,1.0
474,701,Directed,1822,,,1.0
474,956,Directed,1823,,,1.0
48,134,Directed,1824,,,1.0
48,542,Directed,1825,,,1.0
48,245,Directed,1826,,,1.0
48,963,Directed,1827,,,1.0
48,429,Directed,1828,,,1.0
48,86,Directed,1829,,,1.0
48,164,Directed,1830,,,1.0
48,109,Directed,1831,,,1.0
743,744,Directed,1832,,,1.0
743,745,Directed,1833,,,1.0
743,277,Directed,1834,,,1.0
743,222,Directed,1835,,,1.0
743,746,Directed,1836,,,1.0
743,747,Directed,1837,,,1.0
965,43,Directed,1838,,,1.0
965,966,Directed,1839,,,1.0
965,45,Directed,1840,,,1.0
442,441,Directed,1841,,,1.0
137,136,Directed,1842,,,1.0
137,138,Directed,1843,,,1.0
137,139,Directed,1844,,,1.0
137,140,Directed,1845,,,1.0
137,154,Directed,1846,,,1.0
137,155,Directed,1847,,,1.0
137,156,Directed,1848,,,1.0
137,197,Directed,1849,,,1.0
137,198,Directed,1850,,,1.0
137,202,Directed,1851,,,1.0
137,59,Directed,1852,,,1.0
137,203,Directed,1853,,,1.0
137,248,Directed,1854,,,1.0
137,117,Directed,1855,,,1.0
137,249,Directed,1856,,,1.0
137,474,Directed,1857,,,1.0
137,47,Directed,1858,,,1.0
137,314,Directed,1859,,,1.0
137,701,Directed,1860,,,1.0
137,497,Directed,1861,,,1.0
137,114,Directed,1862,,,1.0
137,1065,Directed,1863,,,1.0
137,224,Directed,1864,,,1.0
137,1066,Directed,1865,,,1.0
137,1067,Directed,1866,,,1.0
137,1068,Directed,1867,,,1.0
137,1069,Directed,1868,,,1.0
137,1070,Directed,1869,,,1.0
137,634,Directed,1870,,,1.0
137,200,Directed,1871,,,1.0
977,978,Directed,1872,,,1.0
977,110,Directed,1873,,,1.0
977,979,Directed,1874,,,1.0
977,980,Directed,1875,,,1.0
958,959,Directed,1876,,,1.0
958,44,Directed,1877,,,1.0
958,45,Directed,1878,,,1.0
208,209,Directed,1879,,,1.0
784,114,Directed,1880,,,1.0
784,785,Directed,1881,,,1.0
784,118,Directed,1882,,,1.0
784,384,Directed,1883,,,1.0
784,155,Directed,1884,,,1.0
784,794,Directed,1885,,,1.0
784,795,Directed,1886,,,1.0
784,197,Directed,1887,,,1.0
283,284,Directed,1888,,,1.0
283,285,Directed,1889,,,1.0
283,286,Directed,1890,,,1.0
283,222,Directed,1891,,,1.0
485,114,Directed,1892,,,1.0
485,248,Directed,1893,,,1.0
485,197,Directed,1894,,,1.0
954,938,Directed,1895,,,1.0
954,955,Directed,1896,,,1.0
986,987,Directed,1897,,,1.0
986,984,Directed,1898,,,1.0
986,985,Directed,1899,,,1.0
54,231,Directed,1900,,,1.0
54,223,Directed,1901,,,1.0
54,53,Directed,1902,,,1.0
54,232,Directed,1903,,,1.0
54,185,Directed,1904,,,1.0
54,385,Directed,1905,,,1.0
54,386,Directed,1906,,,1.0
54,55,Directed,1907,,,1.0
54,426,Directed,1908,,,1.0
54,736,Directed,1909,,,1.0
54,327,Directed,1910,,,1.0
54,814,Directed,1911,,,1.0
54,1033,Directed,1912,,,1.0
54,1034,Directed,1913,,,1.0
54,1242,Directed,1914,,,1.0
815,816,Directed,1915,,,1.0
815,923,Directed,1916,,,1.0
815,924,Directed,1917,,,1.0
815,925,Directed,1918,,,1.0
815,634,Directed,1919,,,1.0
1081,1080,Directed,1920,,,1.0
1081,120,Directed,1921,,,1.0
1081,1082,Directed,1922,,,1.0
325,53,Directed,1923,,,1.0
325,872,Directed,1924,,,1.0
325,873,Directed,1925,,,1.0
325,454,Directed,1926,,,1.0
325,874,Directed,1927,,,1.0
325,875,Directed,1928,,,1.0
325,876,Directed,1929,,,1.0
325,877,Directed,1930,,,1.0
325,878,Directed,1931,,,1.0
325,341,Directed,1932,,,1.0
325,441,Directed,1933,,,1.0
187,188,Directed,1934,,,1.0
187,189,Directed,1935,,,1.0
187,411,Directed,1936,,,1.0
187,415,Directed,1937,,,1.0
187,961,Directed,1938,,,1.0
187,853,Directed,1939,,,1.0
187,772,Directed,1940,,,1.0
187,838,Directed,1941,,,1.0
210,211,Directed,1942,,,1.0
210,212,Directed,1943,,,1.0
210,213,Directed,1944,,,1.0
210,316,Directed,1945,,,1.0
210,317,Directed,1946,,,1.0
36,37,Directed,1947,,,1.0
36,38,Directed,1948,,,1.0
36,39,Directed,1949,,,1.0
475,473,Directed,1950,,,1.0
475,474,Directed,1951,,,1.0
475,114,Directed,1952,,,1.0
475,476,Directed,1953,,,1.0
475,477,Directed,1954,,,1.0
475,478,Directed,1955,,,1.0
475,479,Directed,1956,,,1.0
390,419,Directed,1957,,,1.0
390,420,Directed,1958,,,1.0
390,140,Directed,1959,,,1.0
390,627,Directed,1960,,,1.0
390,793,Directed,1961,,,1.0
796,797,Directed,1962,,,1.0
796,798,Directed,1963,,,1.0
796,414,Directed,1964,,,1.0
796,949,Directed,1965,,,1.0
828,744,Directed,1966,,,1.0
828,829,Directed,1967,,,1.0
969,81,Directed,1968,,,1.0
